text,label
@<user> and one more! I'll say goodnight now and thx for the memories  ? http://blip.fm/~7405y,4
@<user> Sorry!  Is there a plan B?,0
@<user> Why ,0
Ice cream made in class was nasty  i hate OJ!,0
Going back to NYC   LA was great as always! At least my flight has direct tv! Lets Go Kobe!  Cant wait to see Rucker!,0
"tired, sad, and want to go home ",0
"I should probably find something interesting to say. And do. It's ok, I'll wash ye old hairr and then watch Gok  Hoping he's on =\",4
@<user> morning. Up late and still slobbing around in dressing gown ,0
@<user> @<user> i'm so upset about jon and kate  - me too girls! Me too!,0
"Thinking about CMIS vs WebDAV, Jackrabbit will have both  And most projects using Jackrabbit (like Jahia), will have both too ",4
"@<user> oh no, I hope he is okay ",0
http://www.pokerhand.org/?4314544  ...pretty much witnessed one of the worst bad beats i've ever seen in my life... 5k HU too  sawry Brian,0
" morning, morning.. just another bored",4
@<user> @<user> thanks.. Will check out.. ,4
@<user> i would if i could find my hair clips lol. All my hair accessory's get stolen  lol,0
My throat is sooooreee ,0
Brother is apparently on Twitter but I can't find him ,0
@<user> Pray please.  my other grandma's in the hospital and only has a few days to live.... ,0
in school bored. and not wanting to go to my stupid anti theft class tomorrow  kill meeeee,0
@<user> shotgun the white ones in the middle that are glowing like a beacon of heavenly trainer goodness ,4
I think my bed is callin me to tell me a nap is in order  &lt;~Mrs. Stone~&gt;,0
@<user> Aww  I'm watching Eagle vs Shark and trying to decide on what to have for lunch.,0
"@<user> nice on the jet ski testing! Hope the book is going well. Cheers for adding me, got twitter after watching the gadget show ",4
"@<user> it's the next one yes. uhm, south sheilds with the rides and shops and such, if it's nice. i'm open to suggestion ",4
"home ,skl's bin alrite today,they've unblocked twitter lol ",4
"Got the optical drive of my laptop replaced this Saturday. Weird, but it simply stopped reading DVDs although it was able to read CDs ",0
@<user> Wow---a gardening goddess---I think I'm going to use that as my official title from now on. Whaddya think?   #followfriday,4
After 42 hours of not sleeping it is time for bed. Alaska-so far so good ,4
I doubt it... Its such a good dog! ....im scared its going to...replace me! Noooooo! ,0
Good morning  Cant believe it's JUNE!,4
@<user> im so excited for the new parody ,4
@<user> I'm going to the CMA Music Festival and would love to be invited to the party! ,4
"@<user> Thanks for the links, and if you need help with the podcast, feel free to drop me a note ",4
Si and Katie back from Greece to even more sun - yee haa! What's that? We need to do some work? ,4
Yay.. Finally I get to lay on my own bed!! ,4
Cindy Sheehan came into the McCain office today...no day is dull in the office.  p.s. what is this Twitter being down for an hour tonight ,0
Tweetdeck without mobypicture  - http://mobypicture.com/?vyrz4a,0
http://twitpic.com/6bed3 - i miss my friend Persis(left). She's in Singapore right now. Hope she's having fun. XOXO! ,4
"Yess!! That's the answer!! Thank you, Mr.Horse.. ",4
@<user> Have you already gone through slides? ,4
long dayyy  loved marias party &amp; so tiredd . going to sleeep,0
"@<user> yup, me too ",0
she wish the dream is true n will happy forever..*slap*..what's the time now?it's 2pm!!get off from the bad n continue the hard life ,0
My face an my arms. Tragic. Seriously. ,0
@<user> ahhh what about uk time  soooo wish i was in LA right now ;),0
#idkill4 A TIME MACHINE 2 GO BACK IN TIME AND STOP MY SELF FROM WATCHING THAT SPECTACULAR VIDEO ughhhhhhh ,0
Got my Empire Earth and RollerCoaster Tycoon!! ,4
"R.I.P toast, you were a good fish.. now you can go to fishy heaven and see Melba.. ",0
@<user> same here.. but cloudy ,0
"@<user> awwww  I didn't feel sick luckily. Got to sleep pretty quickly too, but then the cats next door woke me up.",0
@<user> LOL I was a flight attendant for several years so I can really appreciate this humor.  That was funny! ,4
My new housemate @<user> is forcing us to watch Kylie doing Dancing Queen ,0
@<user> mucho ,0
My own Twitters just hatched in my back yard   http://twitpic.com/6p5hv,4
@<user> just remember life is a journey not a destination ,4
2 kittens dumped on roadside  need homes!,0
@<user> follow iAccelerator for that.. links - http://twitter.com/iA2009 #iA2009 and http://iaccelerator.org ,4
I don't want to work today ,0
is glad she has good company today... ,0
"girls aloud tomorrow, download next wednesday ",4
I want a CHLOE PARATY in Black so bad  dArn the scary price tag! http://tinyurl.com/nv9vdv,0
@<user> Oh! That was strange! *waves* Hiiiii! ,4
Happy Monday everyone. ,4
man I wish He was with me right now I am bored and sad. ,0
@<user> Hi sweetie! Sounds like a good idea ,4
oh... and it's our 12th anniversary of meeting today ,4
Painting my nails... I have a birthday and I'm wearing rude clothes ,4
"@<user> You get sick a lot. :/ ... But after seeing this, I can see why. ",0
"Well, the final tally is 4 kittens. Also, the movie Wolverine wasn't nearly as good as I'd hoped. ",0
Off til Wed. ,4
Almost whole week spent on the road. Not much building. Now it's time to dig into the &quot;Appreciation Quotes&quot; section... Thanx for~~~ ,4
"@<user> ahahah yeah the trinity formal should be good, &amp;it's just the year 10 formal you don't have to go over the top or anything ",4
@<user> Thanks so much you have a lovely site to! Sure ,4
@<user> miss u too! ,0
@<user> unfortunately we didn't have candles at the boarding house and we wanted to sleep but couldn't coz there was no ventilation ,0
@<user> alreet chap! Have an awesome time! N congrats on it recent results! ,4
"@<user> not sure whats worse, how your leg looks or that it made me throw up in my mouth a little! u don't do things by halves OUCH! ",0
its fun here at #ia2009 ,4
Jack Kemp died... just reminds me of '96 election &amp; how I threw a tantrum when Dole/Kemp won our school's mock election. I was 6 yrs old ,4
1 wk dne in LA its goin 2 quick! :S but its amazin! ,4
I am soooo happy!!! ,4
"Well, either i forgot something or paeducator mixed something up and my Child abuse form isn't there. ugh. ",0
@<user> http://bit.ly/y9it7  hey there...I'm from Montana...but I took my fanny pack off  when I moved to CA,4
"@<user> Is @<user> the Democrat gubernatorial candidate? Truth be told, I haven't been keeping up! ",0
@<user> http://twitpic.com/67i24 - This is SO GREAT!!!! ,4
Sooo disappointed in chronicle.com's biased news reporting.  why do I continue to be shocked?,0
Last time we'll get tacos like this. ,0
@<user>   HEYO! you are smart ,4
in the middle of the night ,4
@<user> Aren't they &amp; very addictive also. ,4
@<user> oh too late  nm,0
Goodmorning twitters.  ,4
Reminding everyone NOT to use the 'g' word on my Facebook. i'm 'papa': slang for &quot;the COOL DUDE who's TOO YOUNG to be an OLD DUDE.&quot;  ,4
"Darn, speakers was hospitalized just before he had to take off to Seoul ",0
@<user> whats wrong? ,0
@<user> yeah I dance a bunch of different styles. Some people just take to certain choreographers better then others. ,4
@<user> i totally hugged lil wayne. be jealous bro ,4
@<user> oh don worry u'll b fine  jus take a good book wid ya or some noce movie in ur ipod  keeps ya relaxed! Xxx,4
@<user> I just said I was going to call Amy. My 4 y.o. shouted &quot;Amy Grant?&quot; ,4
"@<user> Tomorrow I'm around man for a bit, got to start golfing now. time to get into summer mode. Got two calls then I'm out ",4
00.47 am in Stockholm and Im still awake.. Gonne get up at 5 am for work ,0
@<user> *bothers me ,4
"@<user> hi, where bouts r u? What country that is, lol, not a stalker! ",4
@<user> Atlanta...June 13th...3 days before my birthday. What would it take to get a picture with you Taylor? Meet and greet? ,4
Watching the french open. Wishing i was there. ,4
Now 103.7.  I'm told the 104 threshhold is bad.,0
@<user> Morning Pris! Would you like a cup of tea? ,4
i like it when @<user> kisses my butt in the morning ,4
just met Sarah Kelly... wow... she is an amazing woman of God!  and she gave me a free t-shirt!  gotta love free merch ,4
"Feeling slightly worried! I think I may have said something bad unintentionally!  If so, why do I not think before I speak?!",0
@<user> darling I'm sorry  just do whatever gets you through the day. One day you'll wake up and it'll hurt a little bit less x,0
Time to get the night started.. hopefully it ends well ,4
i am missing my love and the kids who are in california on vacay ,0
#jonaspoland I love my new pics of my friends  they are soooo crazy  #jonaspoland,4
@<user> i realized that i only really like chocolate if it's w/ strong mint flavor. dark choco is the nom tho  ,4
Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!,0
Learn for english test. ,0
@<user> Is it this one? http://tinyurl.com/nsvogz When you are ready for more I can give you a coupon code. ,4
Ripping my Manson CDs to my computer now. Sending Louise the Holywood album ,4
If you start me up If you start me up I'll never stop....... ,4
"doing some writing now, so I can watch the Cubs game on Fox Saturday Baseball  (hoping for a good game)",4
@<user> Funnily enough - I am now just eating breakfast  Off to Germany tomorrow for a few days for a Festival,4
"I can't believe Rafa is out  Well, then I'm done w/ RG. Not watching it till next year.",0
"I'm working on a new drawing! This time, with colours! ",4
"@<user> I didn't know about it until today, actually, and apparently the #SoFlaTweetup is in 10 minutes. Don't think I'll be making it. ",0
@<user> I didn't enable it. It was just there. Might be a remaining part of bossprefs on firmware 2.1 though ,0
"@<user> It's not bad, just seems like a concept they can't carry on for many seasons ",4
its just hard when you see them everyday... ,0
"@<user> Haha, okay  Btw, if you get bored tomorrow, Bo's probably coming over. If you wanna come too, hit me up.",4
back from Palm Springs ,0
@<user> haha takes cheeky to know cheeky :-p x yep im afraid diet tomorrow  xx,0
http://twitpic.com/7gvs8 - i dont even smile right anymore ,0
I would love for all those who took part in writing todays law exam to promptly go FUCK themselves ,4
@<user> kso youre my bestest friend. i lovez you ,4
@<user> @<user> @<user> i know...it just don't like working with it..im postponing major today... It's due monday tho.. ,0
@<user> But didn't have any memory left for One Song &amp; when I showed her the 1st 2 she asked 2 watch One Song.   I'm a failure lol,0
"gearing up for the day, and then out of the CowTown and onto KC for the Sunday.    fun with the best-ie!",4
"@<user> thanks ,we only have sundays off. good luck for Sat then and hope the weather improves for us all ",4
"Singing.....Blame it on tha Goose, got me feelin loose, blame it on tha 'trone, got me in tha zone.....  *Big Smile*",4
i believe i am coming down w/ a cold or something like it ,0
is about to write two English Literature essays which I was supposed to do yesterday ,0
@<user> You still on the flight? Talk to me ,4
"Hi to everybody, I'm off to write some cover letters. I'll be back in the afternoon. Hope you're all fine ",4
watching back to the future with kelsey ,4
missing reboot again ,0
I am so in love with this kid. He's full of so man AMAZING ideas! ,4
why is it so quiet here  yesterday it was NOISY..aawww..i miss all the fun T.T sob*,0
Very tired tonight. My energy drink did nothing for me ,0
"3rd time my iPod plays &quot;flake&quot; by Jack Johnson, I'm loving it! each time feels better than the last ",4
is meeting with kyonnae at the bus stop  Getting my car soon ,4
"@<user> no thanks, I'm seeing you at 1 tomorrow at the middle east babay ",4
"got an offer to go camping at fraser island for the weekend, would jump on the offer without a 2nd thought but it's forecast to rain ",0
My feet are getting swollen by the minute ,0
Does not want to say goodbye ,0
I WANT A MAC ,0
"@<user> @<user> Thank you, thank you for the kind words about Time of My Life! (It never gets old.) ",4
@<user> Great article! The section on &quot;gallows humor&quot; feels strangely familiar. ,4
Please tell me I'm not the only one who uses cream cheese as a dip for Doritos. My brother was making fun of me earlier. ,0
@<user> I can think of a better way to release it ,4
@<user> Hope you have a great day at work.  Holla at me later on ,4
I never want to leave Arizona. ,0
@<user> I can't remember how but am going to mess about with it now anyway. You just reminded me to download it again ,4
@<user> your welcome!!! ,4
@<user> i hope you didn't .. ,0
@<user> the irish . yeah its for boyzone. im so excited ,4
Yay! I'm going to the Dodger game...I just don't know if I have tickets yet ,0
@<user> Yeah ,0
*sighs* not having a very good day ,0
Olive garden was good. Seeing uncle bill was good too ,4
Exhausted from a night at 3 Guys watchin the Pens game   Going to bed now.....,0
u juz signed out like that?? ,0
i don't know what to do ! ,0
Getting used to twitter haha ,4
@<user> great pic! get me in next time ,4
"People keep saying that I'm losing weight, but I stepped on the scale today and I haven't lost anything? ",0
"@<user> @<user> u can come over to party, too. 5 oclock!!i got martini and champagne and muffin and pizza.and a clean room. ",4
@<user> LOL - thanks ,4
i want a mcfly phone!! ,4
"@<user> Why thank you, but your profile pic definitely beats mine ",4
..Is just getting to grip with using Twitter ,4
There should be a bank holiday in Scotland when there is nice weather !!! This is shit being stuck in a office on a day like this ,0
Is off work and headed to work.  wish i had time to play!,0
@<user> thanks for the #followfriday shout out ,4
"Hate that Wal-Mart doesn't hand the bags to you, just places them in bags on a turnstile so that u pay &amp; then forget to pick up all bags ",0
@<user> thankyou I took a zirtek ,4
@<user> NO not at all  special as in super!!!,4
@<user> welcome ,4
"Final Destination 1,2 and 3 is like the best movies EVER ",4
Watching my girlfriend get out the showe  with her lime green towel .. IM BAD!!!!   Mohawk Kidd,4
@<user> AH BGT WAS AMAZING. you missed it  BOOOO x,0
@<user> OHHH so you're saying my face is fugly.   ,0
is missing the days! ,0
"sorry for the double tweet, had 2 c if I could blip this. it's worth a double play anyway  ? http://blip.fm/~5iw1b",4
http://twitpic.com/6upzs - Blooms are finally starting to fall of my orchid  but I'm glad I've kept it alive for this long.,0
@<user> http://tinyurl.com/qp3mjd &lt;-- prior article. I agree with you though - the job loss is terrible ,0
watching non-stop re-runs of #TopGear on BBC Knowledge and getting even more bored then before ,0
@<user>  It just said that the page you requested was not found,0
"@<user> we need to introduce you to @<user> 's pal, Gnoman. ",4
No more Johnny in kill hannah? ,0
@<user> sorry got the 2nd update late and I hope ur wrong 2 I want a gears perrif lancer  I yea and cover couch LOL,4
well everything thing seems back to normal now...........feel the odd one out more than ever ,0
We were texting and it meant a lot and you fell asleep ,0
@<user> awww poor baby! Is she ok?! What happened? ...plz don't tell me a car ,0
"@<user> So jealous  ur goinggg, n maybe for the afterparty too grr. Its hot out there better gear urslf wt a cap.",0
@<user> Thanks Seymore for the encouragement and enthusiasm ,4
@<user> yeah! i couldve gone to Puerto Rico with them but my grades  so that kinda sucks. i have to fix them or make them even better.,0
@<user>  I would totally love to share fish and chips with you  he is working on developing a horror department so that's realistic,4
Feeling a lil down today ,0
@<user> WINK ,4
"@<user> I already have a banjo - maybe I should get some practice in on that, first ",4
@<user> I have LOADS of old movies.  I'm a bit of a collector.  ,4
@<user> i love you too! ,4
